No,Datetime [local time],Datetime [UTC],P1 [bar],TOB1 [°C],P1 rounded [bar],TOB1 rounded [°C]
1,12.03.2026 14:30:00,2026-03-12T13:30:00.000000Z,0.502345,19.87234,0.50,19.87
2,12.03.2026 14:30:01,2026-03-12T13:30:01.000000Z,0.501234,19.87456,0.50,19.87
3,12.03.2026 14:30:02,2026-03-12T13:30:02.000000Z,0.503456,19.86789,0.50,19.87
4,12.03.2026 14:30:03,2026-03-12T13:30:03.000000Z,0.500789,19.87123,0.50,19.87
5,12.03.2026 14:30:04,2026-03-12T13:30:04.000000Z,0.502678,19.87345,0.50,19.87
6,12.03.2026 14:30:05,2026-03-12T13:30:05.000000Z,0.501567,19.86890,0.50,19.87
7,12.03.2026 14:30:06,2026-03-12T13:30:06.000000Z,0.503012,19.87234,0.50,19.87
8,12.03.2026 14:30:07,2026-03-12T13:30:07.000000Z,0.500456,19.87567,0.50,19.88
9,12.03.2026 14:30:08,2026-03-12T13:30:08.000000Z,0.502890,19.86456,0.50,19.86
10,12.03.2026 14:30:09,2026-03-12T13:30:09.000000Z,0.501345,19.87890,0.50,19.88
11,12.03.2026 14:30:10,2026-03-12T13:30:10.000000Z,0.503234,19.87123,0.50,19.87
12,12.03.2026 14:30:11,2026-03-12T13:30:11.000000Z,0.500678,19.87345,0.50,19.87
13,12.03.2026 14:30:12,2026-03-12T13:30:12.000000Z,0.502012,19.86567,0.50,19.87
14,12.03.2026 14:30:13,2026-03-12T13:30:13.000000Z,0.501890,19.87678,0.50,19.88
15,12.03.2026 14:30:14,2026-03-12T13:30:14.000000Z,0.503567,19.87234,0.50,19.87
16,12.03.2026 14:30:15,2026-03-12T13:30:15.000000Z,0.500234,19.87456,0.50,19.87
17,12.03.2026 14:30:16,2026-03-12T13:30:16.000000Z,0.502456,19.86890,0.50,19.87
18,12.03.2026 14:30:17,2026-03-12T13:30:17.000000Z,0.501012,19.87789,0.50,19.88
19,12.03.2026 14:30:18,2026-03-12T13:30:18.000000Z,0.503890,19.87012,0.50,19.87
20,12.03.2026 14:30:19,2026-03-12T13:30:19.000000Z,0.500567,19.87345,0.50,19.87
