No,Datetime [local time],Datetime [UTC],P1 [bar],TOB1 [°C],P1 rounded [bar],TOB1 rounded [°C]
1,13.03.2026 08:00:00,2026-03-13T07:00:00.000000Z,0.998234,21.45123,1.00,21.45
2,13.03.2026 08:00:01,2026-03-13T07:00:01.000000Z,0.999123,21.44987,1.00,21.45
3,13.03.2026 08:00:02,2026-03-13T07:00:02.000000Z,1.001234,21.45234,1.00,21.45
4,13.03.2026 08:00:03,2026-03-13T07:00:03.000000Z,0.998765,21.45678,1.00,21.46
5,13.03.2026 08:00:04,2026-03-13T07:00:04.000000Z,1.000123,21.44890,1.00,21.45
6,13.03.2026 08:00:05,2026-03-13T07:00:05.000000Z,0.999876,21.45345,1.00,21.45
7,13.03.2026 08:00:06,2026-03-13T07:00:06.000000Z,1.001567,21.45123,1.00,21.45
8,13.03.2026 08:00:07,2026-03-13T07:00:07.000000Z,0.998234,21.45890,1.00,21.46
9,13.03.2026 08:00:08,2026-03-13T07:00:08.000000Z,1.000456,21.45234,1.00,21.45
10,13.03.2026 08:00:09,2026-03-13T07:00:09.000000Z,0.999345,21.45567,1.00,21.46
11,13.03.2026 08:00:10,2026-03-13T07:00:10.000000Z,1.000789,21.45123,1.00,21.45
12,13.03.2026 08:00:11,2026-03-13T07:00:11.000000Z,0.999012,21.45456,1.00,21.45
13,13.03.2026 08:00:12,2026-03-13T07:00:12.000000Z,1.001234,21.45234,1.00,21.45
14,13.03.2026 08:00:13,2026-03-13T07:00:13.000000Z,0.998567,21.45789,1.00,21.46
15,13.03.2026 08:00:14,2026-03-13T07:00:14.000000Z,1.000890,21.45345,1.00,21.45
16,13.03.2026 08:00:15,2026-03-13T07:00:15.000000Z,0.999678,21.45567,1.00,21.46
17,13.03.2026 08:00:16,2026-03-13T07:00:16.000000Z,1.001012,21.45123,1.00,21.45
18,13.03.2026 08:00:17,2026-03-13T07:00:17.000000Z,0.998345,21.45890,1.00,21.46
19,13.03.2026 08:00:18,2026-03-13T07:00:18.000000Z,1.000678,21.45234,1.00,21.45
20,13.03.2026 08:00:19,2026-03-13T07:00:19.000000Z,0.999901,21.45456,1.00,21.45
21,13.03.2026 08:00:20,2026-03-13T07:00:20.000000Z,1.000234,21.45345,1.00,21.45
22,13.03.2026 08:00:21,2026-03-13T07:00:21.000000Z,0.998890,21.45678,1.00,21.46
23,13.03.2026 08:00:22,2026-03-13T07:00:22.000000Z,1.001456,21.45123,1.00,21.45
24,13.03.2026 08:00:23,2026-03-13T07:00:23.000000Z,0.999234,21.45567,1.00,21.46
25,13.03.2026 08:00:24,2026-03-13T07:00:24.000000Z,1.000567,21.45234,1.00,21.45
26,13.03.2026 08:00:25,2026-03-13T07:00:25.000000Z,0.998678,21.45890,1.00,21.46
27,13.03.2026 08:00:26,2026-03-13T07:00:26.000000Z,1.001890,21.45345,1.00,21.45
28,13.03.2026 08:00:27,2026-03-13T07:00:27.000000Z,0.999567,21.45456,1.00,21.45
29,13.03.2026 08:00:28,2026-03-13T07:00:28.000000Z,1.000012,21.45123,1.00,21.45
30,13.03.2026 08:00:29,2026-03-13T07:00:29.000000Z,0.998012,21.45789,1.00,21.46
