No,Datetime [local time],Datetime [UTC],P1 [bar],TOB1 [C],P1 rounded [bar],TOB1 rounded [C]
1,13.03.2026 16:34:15,2026-03-13T15:34:15.464540Z,-0.002334595,25.77389526,-0.00,25.77
2,13.03.2026 16:34:16,2026-03-13T15:34:16.479224Z,-0.002571106,25.77774048,-0.00,25.78
3,13.03.2026 16:34:17,2026-03-13T15:34:17.489482Z,-0.002662659,25.77389526,-0.00,25.77
4,13.03.2026 16:34:18,2026-03-13T15:34:18.498359Z,-0.002334595,25.77389526,-0.00,25.77
5,13.03.2026 16:34:19,2026-03-13T15:34:19.511527Z,-0.002006531,25.77389526,-0.00,25.77
6,13.03.2026 16:34:20,2026-03-13T15:34:20.525667Z,0.013031006,25.77389526,0.01,25.77
7,13.03.2026 16:34:21,2026-03-13T15:34:21.537116Z,0.112470627,25.77389526,0.11,25.77
8,13.03.2026 16:34:22,2026-03-13T15:34:22.538311Z,0.132570267,25.77005005,0.13,25.77
9,13.03.2026 16:34:23,2026-03-13T15:34:23.545853Z,0.136413574,25.77005005,0.14,25.77
10,13.03.2026 16:34:24,2026-03-13T15:34:24.559188Z,0.105131149,25.77005005,0.11,25.77
11,13.03.2026 16:34:25,2026-03-13T15:34:25.560066Z,-0.002429962,25.77005005,-0.00,25.77
12,13.03.2026 16:34:26,2026-03-13T15:34:26.575192Z,-0.002302170,25.76626587,-0.00,25.77
13,13.03.2026 16:34:27,2026-03-13T15:34:27.589435Z,-0.002773285,25.77389526,-0.00,25.77
14,13.03.2026 16:34:28,2026-03-13T15:34:28.601859Z,-0.002538681,25.77005005,-0.00,25.77
